Food_items,Breakfast,Lunch,Dinner,Diet,Sugar,BP,Cuisine,Calories,Fats(gm),Proteins(g),Iron(mg),Calcium(mg),Sodium(mg),Potassium(mg),Carbohydrates(gm),Fibre(gm),Vitamin D(mcg),Sugars(gm),TranslatedIngredients,TranslatedInstructions,,URL
Mughlai Style Chicken Haleem Recipe,0,1,1,Non Vegeterian,1,1,Mughlai,345.2,11,3.4,1.7,215.6,30.8,53.7,5.4,2.5,0,1.2,"300 grams Boneless chicken,3 tablespoon Chana dal (Bengal Gram Dal),1 tablespoon Rice,3 tablespoon Broken Wheat (Dalia/ Godumai Rava),1 Bay leaf (tej patta),4 Onions - sliced,1 teaspoon Ginger Garlic Paste,3 Green Chillies,2-1/2 tablespoons Red Chilli powder,Salt - to taste,2 tablespoon Mint Leaves (Pudina) - chopped,2 tablespoon Coriander (Dhania) Leaves - chopped,1 tablespoon Sunflower Oil,3 tablespoon Ghee,1 teaspoon Cumin seeds (Jeera),1 teaspoon Ajwain (Carom seeds),1 tablespoon Whole Black Peppercorns,1 inch Cinnamon Stick (Dalchini),3 Cardamom (Elaichi) Pods/Seeds,2 Black cardamom (Badi Elaichi)","To prepare Mughlai Style Chicken Haleem Recipe, dry roast all the spices mentioned under masala list. Grind it into fine powder. Keep aside.Soak chana dal, broken wheat, rice separately.In a saucepot add oil. Add sliced onions, ginger garlic paste, green chilies saut until onions turn brown. Remove from stove and keep aside.Add 3 cups water into the same pan. Add chicken pieces, salt and red chili powder. Cover and bring it to rollingboil.Once chicken changes color, add the soaked dal, broken wheat and rice. Cover and cook. Once thechicken is cooked, remove the bay leaf.Start mashing the chicken and dal once chicken gets cooked. Continue mashing and cooking until all the chicken is fully mashed along with dal. Keep adding alittle water as and when required.Now add the sauteed onion-ginger garlic-green chilies mix along with roasted spices. Add salt to taste and continue to cook and mash.Once the haleem turns thick and all ingredients are well mashed, add ghee and mix again.Transfer the Mughlai Style Chicken Haleem Recipe to serving bowl, garnish with caramelized onions, fresh coriander leaves and some ghee on top.Serve Mughlai Style Chicken Haleem Recipe topped with caramelized onions and serve as a main course meal withMutton Keema Samosa Recipe.",https://www.archanaskitchen.com/mughlai-style-chicken-haleem-recipe,
Kerala Style Pazham Pori Recipe (Banana Fry),0,1,1,Vegetarian,1,1,South Indian Recipes,110.2,5,5.4,5.6,26,2.5,1.6,40.2,5.8,0,1.2,"4 Raw Banana,1/4 cup Rice flour,1/2 cup All Purpose Flour (Maida),1 cup Milk,1/4 cup Fresh coconut,1/4 teaspoon Salt","To begin making the Kerala Style Pazham Pori Recipe (Banana Fry), slice each banana into lengthwisepieces of about 1 to 1-12 inches.In a bowl, combine the flour, milk, coconut and salt to make a smooth thick batter. Add additional flour if you feel the batter is thin.Preheat oil for deep frying once the oil is heated, dip the sliced banana pieces in the flour batter until it coats well. Dip the batter coated banana into the oil and fry until golden brown. Proceed the same way with the remaining banana pieces and serve.Serve theKerala Style Pazham Pori (Banana Fry) for breakfast or as a tea time snack or even as an appetiser for parties with hot Masala Chai.",https://www.archanaskitchen.com/kerala-style-pazham-pori-recipe-banana-fry,
Chicken Yakisoba Recipe - Japanese Noodles,0,1,1,Non Vegeterian,1,0,Japanese,210.2,9.6,9,1.44,47,418,225,21,1.5,0,3.1,"150 grams Chicken breasts - cut into small strips,Salt - to taste,1 tablespoon Corn flour,1 teaspoon Black pepper powder,1 teaspoon Sunflower Oil,200 grams Yakisoba noodles - optionally use Maggi Noodles,1 tablespoon Sunflower Oil,1 Onion - thinly sliced,1 Carrot (Gajjar) - cut into juliennes,1/4 cup Cabbage (Patta Gobi/ Muttaikose),1/4 cup Spring Onion Greens,1 cup Button mushrooms - cut into quarters,1 tablespoon Soy sauce,1 tablespoon Red Wine Vinaigrette,1 teaspoon Brown Sugar (Demerara Sugar),1 teaspoon Worcestershire sauce,1 Green Chilli - finely chopped","To begin making the Chicken Yakisoba Recipe, we will first boil the yakisoba noodles.Note If you are unable to find yakisoba noodles, you can use the noodles, from the maggi noodles pack without the maggi masala.To cook the Yakisoba NoodlesHeat a saucepan with water and bring it to a boil. To the water, add a teaspoon of oil and salt.Once the water comes to a rolling boil, reduce the flame and add the noodles.Cook for about 4-6 minutes on medium flame, we want the noodles to be just about cooked. Make sure it is not over cooked.Turn off the flame, and transfer the noodles into a sieve, draining off all the water.Run cold water over the yakisoba noodles to cut the cooking process.Drizzle a little oil over the noodles and ruffle the noodles, ensuring they do not stick to each other. Keep it aside.To make the ChickenHeat a shallow frying pan with oil on medium heat.In a mixing bowl, add the chicken strips, salt and cornflour. Give it a good mix, to ensure it is evenly coated.Put these chicken strips into the pan and cook, stirring occasionally.The chicken will take close to 5 minutes to cook. Once the chicken is cooked, turn off the flame, sprinkle some pepper powder, mix.Transfer to a bowl, and set aside.To make theYakisoba sauceIn a mixing bowl, combine thesoy sauce,red wine vinegar, brown sugarworcestershire sauce and green chillies. Set aside.Finally to make the Chicken Yakisoba NoodlesIn a wok, heat oil on medium flame, into the hot oil, add onions and saute until they turn transparent. This will take about 2-3 minutes.Next add the carrots, cabbage, and mushrooms, stir fry on high heat for a good 3-4 minutes.The mushrooms need to be cooked, and the other veggies need to be just about crunchy.At this stage, add the freshly made yakisoba sauce.Add in the yakisoba noodles and toss until well combined. Check the salt and seasonings and adjust to taste.Transfer theChicken Yakisoba  Japanese Noodles into a serving bowl.ServeChicken Yakisoba Recipe along withTeriyaki Chicken Recipeand a dessert ofJapanese Cotton Cheesecake (Fusion Recipe).",https://www.archanaskitchen.com/chicken-yakisoba-recipe-japanese-noodles,
No Bake Nutella Cheesecake Recipe,0,1,1,Vegetarian,0,1,Continental,350.1,0.7,3,1.26,11.28,62.1,176.6,23.6,3.2,0,9.8,"100 grams Oreo biscuits - crumbled,6 Tablespoon Butter (unsalted) - melted,3 tablespoon Nutella Spread,400 grams Britannia Cream Cheese,1-1/2 cup Nutella Spread,1/2 cup Caster Sugar,1 tablespoon Vanilla Extract,1/4 cup Heavy whipping cream,2 tablespoon Cocoa Powder,1-1/2 tablespoon Gelatin,Oreo biscuits - a few,Fresh Cherries - a few","To begin making No Bake Nutella Cheesecake Recipe, take a mixing bowl, add crumbled oreo biscuits ,unsalted butter and nutella.Whiz it up until it is mixed well with a hand blender. When you pinch the mixture, it should hold well.Take a glass (or individual serving bowls, shot glasses etc) and press this mixture to the bottom to make a crust. Once you have used up all the crust mixture, arrange these bowls or cups in a refrigerator to chill till it is needed again.Now add cream cheese and nutella in a clean mixing bowl and beat the mixture on a medium speed in a hand mixer till combined well.Add sugar and heavy cream. Beat it again until evenly blended.Add vanilla essence, cocoa powder and fold it in this mixture. You can blend it for half a minute till combined as well.Take a bowl and add gelatin in 2 tablespoon water, place the bowl in a saucepan of lukewarm water.Once gelatin is dissolved in water, set the bowl aside. (You can also keep the water on a simmered heat and dissolve gelatin but take care that the water does not reach a boiling point).Add this liquid gelatin in nutella and cream cheese mixture. Blend for a few seconds to help it get incorporated in the mixture.Take out the cups of Oreo crust from the fridge and pour a few tablespoons of the prepared mixture into each cup on the oreo crust. Spread and smoothen the mixture evenly with a butter knife or back of the spoon.Chill for 6-7 hours, ideally overnight.Take the glasses out once the cheesecake has been set, and take them out just before serving.You can top each cup with red cherries and oreo crumbs.Serve No Bake Nutella Cheesecake Recipe as a dessert after aMushroom Cutlet Vegetarian Sizzler Recipeor a light dinner withZoodles Tossed In Cashew Cilantro Pesto Recipe (Vegan).",http://www.archanaskitchen.com/no-bake-nutella-cheesecake-recipe,
Mutton Do Pyaza Recipe,0,0,1,Non Vegeterian,1,0,North Indian Recipes,254.5,4.19,23.01,177.5,75.2,2166.06,513.42,5.13,3.08,0,2.1,"450 grams Mutton - cleaned and Cut into small pieces,1 Onion - thinly sliced,1 Tablespoon Ginger Garlic Paste,1/2 teaspoon Turmeric powder (Haldi),1/2 Cup Curd (Dahi / Yogurt),1 Tablespoon Red Chilli powder - differ amount as per taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 Tablespoon Garam masala powder,2 Green Chillies - finely chopped,2 Tablespoons Extra Virgin Olive Oil,Coriander (Dhania) Leaves - Few Chopped,Salt - to taste,1/2 teaspoon Lemon juice,1 Tablespoon Extra Virgin Olive Oil,1 Onion - roughly chopped in chunks,6 Dry Red Chillies","To begin preparing Mutton Do Pyaza Recipe, keep all the ingredients handy. In a saucepan kept on medium heat, saut sliced onions using a tablespoon of oil, till browned, for about 2-3 minutes. Sprinkling a little salt while sauting helps in faster cooking. Browning of onions is important to hold up the taste.Add ginger garlic paste. Mix. Saut till the raw smell disappears, for about 2-3 minutes on medium heat.Add turmeric powder,goat meat and mix well. Add a little water, cover and cook on medium high for 30 mins. Check in between to add more water as required and saut.Add dry spices like coriander, cumin powder, red chilli powder and Yogurt. Mix well, cover and cook for another 30 minutes on medium high heat.Add Garam masala, sprinkle chopped coriander and salt. Mix well.The next step is tempering.In a medium pan, heat 1 tablespoon oil and add dry red chilies. Fry for few seconds until they brown up.Then add roughly chopped onions. Saut for 2-3 minutes until tender and browned. Pour this over mutton.Mix well. Cover and simmer on low heat for 10 minutes.Squeeze juice of half a lime.RelishMutton Do Pyazawith hotRotis,Butter Naanor cooked Rice for a nice sunday meal to enjoy with your loved ones.",http://www.archanaskitchen.com/mutton-do-pyaza-recipe,
Tamil Nadu Style Broccoli Poriyal Recipe - Broccoli Stir Fry Recipe,0,1,0,Vegetarian,1,1,Tamil Nadu,210.2,11.1,9.3,2.4,61.5,9.5,274.7,23.5,4.4,0,2.56,"2 cups Broccoli - (or one broccoli head) cut into small florets,1 Onion - chopped,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,2 sprig Curry leaves,Salt - to taste,2 teaspoons Sunflower Oil","To begin making the Tamil Nadu Style Broccoli Poriyal Recipe, firstly boilthe required water in a saucepan, add a little oil to fasten the process. Once it starts to boil, switch off the gas and add the broccoli florets and blanch it for 60 seconds.Strain the water and keep the broccoli aside, heat a nonstick pan with oil, add mustard seeds, cumin seeds and let it splutter for few minutes.After few minutes, add in the curry leaves, chopped onion and saute till the onions are translucent and light brown.Once i t is done, add the blanched broccoli and the spice powders including turmeric powder, red chilli powder, salt and season it according to your palate. Give it a toss and serve.Serve theTamil Nadu Style Broccoli Poriyal Recipealong withMixed Vegetable Sambar,Steamed RiceandElai Vadamfor your everyday meals.",http://www.archanaskitchen.com/tamil-nadu-style-broccoli-poriyal-recipe-broccoli-stir-fry-recipe,
Kashmiri Style Modur Pulao Recipe - Kashmiri Sweet Pulao,0,1,0,Vegetarian,1,0,Kashmiri,352.2,7.67,19.12,1.51,77.83,791.58,428.71,5.95,1.78,0.1,4.5,"1 cup Basmati rice,1 cup Sugar,6 tablespoons Ghee,3 Bay leaves (tej patta),6 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),6 Cardamom (Elaichi) Pods/Seeds,1/4 teaspoon Whole Black Peppercorns,1/4 teaspoon Saffron strands,1 teaspoon tablespoon Dates - chopped,1 teaspoon tablespoon Badam (Almond) - blanched,1 teaspoon teaspoon Cashew nuts - chopped,1 teaspoon teaspoon Raisins,Salt - as required,3 cups Water","To begin making the Modur Pulao Recipe, wash rice thoroughly with water and soak for half an hour. Drain the water and set aside.In a small bowl, soak saffron with a tablespoon of water.In a small saucepan, add 2 cups of water and bring it to boil. Add rice and cook for about 5 to 10 minutes. Ensure that the rice is only cooked 34th. Do not cook for long time.Drain water from the rice and set aside.In a non-stick kadai heat ghee over medium flame. Once the ghee is hot, lower the flame and add cloves, bay leaves, cinnamon stick, cardamom, and Peppercorns.Cook them until peppercorns clutter.Now, add sugar, 12 cup of water and cook until they dissolve completely. It should be in thick syrup consistency.Add the half cooked rice and give it a stir.Now add chopped dates, raisins, almonds and cashews to the rice. Soak dates and almonds in warm water for few minutes for chopping it without efforts.Combine them well and pour the saffron water on top of the rice.Cover the pan and cook rice over low flame for about 20 to 25 minutes until they are cooked well. Ensure to stir them occasionally to prevent it from being burnt at the bottomIn case if you have added undercooked rice, add required amount of water. Ensure to check the consistency of the rice often to avoid overcookingServe Modur Pulao warmly to satisfy your sweet tooth.Serve Modur Pulao along withKashmiri Style Dum AlooandPhulkasfor a weekend lunch.",http://www.archanaskitchen.com/modur-pulao-recipe-kashmiri-sweet-pulao,
Thotakura Majjiga Pulusu Recipe - Amaranth Leaves in Buttermilk Stew,0,1,0,Vegetarian,1,0,Andhra,250.2,15,15,10.3,163,720,1448,118,12,0,2.5,"1 cup Green Amaranth Leaves - chopped,1 Onion - sliced,1/2 teaspoon Turmeric powder (Haldi),1 cup Curd (Dahi / Yogurt),Salt - to taste,Sunflower Oil,2 tablespoon Fresh coconut - grated,1 Green Chilli,2 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Mustard seeds,1 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Cumin seeds (Jeera),1 pinch Asafoetida (hing),1 sprig Curry leaves,2 Dry Red Chillies,Sunflower Oil","To begin making the Thotakura Majjiga Pulusu Recipe, first grind the coconut with green chilli and coriander leaves with some water to a smooth paste.Heat a flat skillet with oil, add onions and saute well till it is translucent. Once done add amaranth leaves and saute till the leaves are cooked.Add ground coconut paste and curd together and give it a stir. Sprinkle salt and turmeric powder and mix well. Allow it to simmer for 10 minutes and turn off the heat.Heat a small tadka pan with oil, add mustard seeds, fenugreek seeds and cumin seeds and leave it to crackle.Once the seeds have carackled add hing, curry leaves and dry red chillies and allow it to crackle and pour this over the curry and serve.Serve the Thotakura Majjiga Pulusu Recipe with somesteamed riceand ghee andCarrot Poriyal Recipefor a comforting lunch.",http://www.archanaskitchen.com/thotakura-majiga-pulusu-recipe-amaranth-leaves-in-buttermilk-stew,
Nandan Kozhi Recipe  - Kerala Style Chicken Curry,0,0,1,Non Vegeterian,1,1,Kerala Recipes,241.2,2.7,5,0.8,87.8,26.7,109.3,17,2.3,0,4.5,"500 grams Chicken - curry cut,3 Onions - sliced,4 Tomatoes - chopped,1 inch Ginger - minced,10 cloves Garlic - minced,1/2 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),2 teaspoon Chicken masala - (you can use other too but I prefer eastern masalas for kerala style preparations),1 cup Fresh coconut - grated,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),Curry leaves - Handful,2 tablespoons Coconut Oil","To begin making the Nandan Kozhi recipe, firstly heat oil in a large heavy bottom pan heat oil on medium flame. Add onions, ginger, and garlic and saut till the onion is deep brown and well cooked.While the onions are being sauted, in a separate pan, on slow flame dry roast the grated coconut to a golden brown colour.Add the whole spices - cloves and cinnamon , mix well and turn off the heat. Keep aside to cool slightly. This is will also help in dry spices infusing some of their flavour in the roasted coconut.Once cool, grind to a smooth paste using little water.Once the onions have turned deep brown, add the dry spices - chicken masala, turmeric powder, chilli powder, salt and saut for one minute. Add tomatoes and fry till the oil separates.Add the coconut and spice paste along with chicken pieces, mix and saut till the chicken is well coated with spices.Add about 1 cup water and cook covered on low flame for about 15 to 18 mins or the chicken pieces are cooked thoroughly.Garnish it with curry leaves on top and it is ready to be served.Serve Nandan Kozhi as a Sunday brunch along withappamorKerala Style Whole Wheat Parotta RecipeandSeer Fish Fry Recipeby the side to enjoy your meal.",http://www.archanaskitchen.com/nandan-kozhi-recipe-kerala-style-chicken-curry,
Penne With Roasted Eggplant And Mint Pesto Recipe,0,0,1,Vegetarian,1,0,Italian Recipes,214.2,9.3,7.7,1.7,18.8,346,292,24,2.2,0,1.7,"3/4 cup Mint Leaves (Pudina),1/2 cup Basil leaves,1/4 cup Pine nuts,2 tablespoons Parmesan cheese,1/2 cup Extra Virgin Olive Oil,Salt and Pepper - to taste,1 tablespoon Extra Virgin Olive Oil,1 cup Brinjal (Baingan / Eggplant) - chopped,2 cups Penne pasta,1/2 cup Mint Pesto,Salt - to taste","To begin making the Penne With Roasted Eggplant And Mint Pesto, first prepare the pesto, by blending together mint, basil and pine nuts in a mixie jar along with a splash of water. Pulse it a couple of times, till coarse.Then, slowly drizzle in the olive oil and blend once more.Stir in salt, pepper and parmesan and blend till smooth pesto. The pesto can be stored in an airtight container in the refrigerator for up to a week.To cook the penne, bring a deep, heavy bottomed pot of water to a rolling boil. Add a splash of olive oil and a teaspoon of salt to it and drop the penne into it.Cook for 7-8 minutes on a medium heat until the penne is al-dente. Drain through a colander, drizzle some olive oil, toss and set aside until ready to use.Place a pan on the heat, add some olive oil to it and allow it to get warm. Place the sliced aubergineeggplant in the pan and cook covered for 8-10 minutes till the eggplant is cooked through. You can take the lid off in between and flip the sliced eggplant.When the eggplant is fully cooked, take the lid off, add the penne, mint pesto and salt to it. Toss well, until the pesto coats all the penne.Serve the Penne With Roasted Eggplant And Mint Pesto hot, topped with shaved parmesan and a side ofSpinach Salad Recipe with Boiled Eggs and Mushroomsfor a weeknight dinner.",http://www.archanaskitchen.com/penne-with-roasted-eggplant-and-mint-pesto-recipe,
Mango Panna Cotta With Fruit Cream Recipe,0,1,1,Vegetarian,0,0,Italian Recipes,358.7,8.4,5.1,2.8,51.7,263.7,194,34,3.5,0,15.7,"1 cup Mango Pulp (Puree),1/2 cup Double Cream,1/2 cup Milk - whole milk,2 teaspoons Agar agar - strands,3 tablespoons Sugar,70 ml Heavy whipping cream,Mixed fruits - your choice","Instruction to make Panna CottaTo prepare mango panna cotta with fruit cream recipe, you have to start first by chopping the agar-agar strands into small pieces with the help of kitchen scissors and soak them in warm water for about 10 minutes.Mix cream, milk, and sugar in a pan or saucepan and keep it on low flame. Keep on stirring at intervals while the cream mixture comes to a gentle boil and sugar gets completely dissolved.Meanwhile, keep the agar-agar and water solution on low flame in another saucepan. Keep on stirring the agar-agar solution and let it cook till the agar-agar strands are dissolved.When the cream, milk, and sugar mixture comes to a gentle boil, switch off the flame, and mix hot agar-agar solution with it and stir very well with a wired whisk.Cook this mixture on low flame for about 5 minutes. At any point of time mixture should not come to a rolling boil rather should be at a constant boil. Switch off the flame.Peel and chop the mangoes and then make a smooth puree of the mangoes in a hand blender.After about 10 minutes of keeping the milk and agar mixture off the fire, when it cools down a little, add the Mango puree.Mix it well with the help of a wire whisk. The mixture should be smooth.Now, pour this prepared warm Panna Cotta either into individual glassesbowls or in any convenient dishglass dish. You can tilt the glasses to have unique patterns or can set it in individual molds.Once the panna cotta comes down to room temperature, keep the containers in the fridge for 4-5 hours.Instruction to Make Fruit CreamWhip the chilled whipping cream at the lowest speed possible until its airy and fluffy. You can use a hand blender or stand mixer with whip attachment.Switch off before the peaks appear on the cream. Whip for about 1-2 minutes.Now add the flavored cream gently and whip it again at the lowest speed for 2-3 minutes.Gradually add fruits to the whipped cream and switch off the whipping. Put away in the freezer for at least 2 hours.Instruction to Assemble The RecipeWhen the panna cotta is set fill the glasses with chilled fruit cream.Decorate with some more fruits.Serve Mango Panna Cotta With Fruit Cream Recipe chilled after keeping it in the freezer for a few more hours.NotesRemember to grease your molds if you want to take them out of themold. This way the demolding will be easy and shall not disturb the pattern.If you are preparing panna cotta and fruit cream together, put them away separately in thefridge for 5 hours and then you can lightly whip the fruit cream before arranging it on the set panna cotta and arrange the fruits. This will help in reducing the chilling time.",https://www.archanaskitchen.com/mango-panna-cotta-with-fruit-cream-recipe,
Kerala Chicken Curry Recipe,0,1,0,Non Vegeterian,1,0,Kerala Recipes,289.8,6.5,7.1,0.5,158.6,296.8,7.1,11.6,1,0,2,"400 grams Chicken - cut into medium sized pieces,1/2 cup Curd (Dahi / Yogurt),1 teaspoon Turmeric powder (Haldi),1 teaspoon Sunflower Oil,1 teaspoon Mustard seeds,10 Curry leaves,1 Onion - roughly chopped,1 inch Ginger - grated,6 to 7 cloves Garlic - finely chopped,Salt - as per taste,40 grams Instant Oats (Oatmeal) - Masala one,1 tablespoon Whole Black Peppercorns,1 teaspoon Coriander (Dhania) Seeds,1 inch Cinnamon Stick (Dalchini),1 teaspoon Fennel seeds (Saunf),2 Dry Red Chillies","To prepare the Kerala Chicken Curry, in a mixing bowl, marinate the chicken with curd, turmeric powder and salt for about 2 hours.To make the masala for the Kerala Chicken curryHeat a skillet on medium low flame and dry roast thepeppercorns,coriander seeds,cinnamon stick,fennel seeds anddried red chilies. This will take about 4-5 minutes.Once the aroma of the spices begins to waft in the air, turn off the flame and allow it to cool down.Transfer to a mixer jar and grind to a corse powder.Heat oil in kadaiwok, add mustard seeds. When it splutters, add onion and curry leaves. Saut.When onions are lightly brown, add ginger, garlic, and saut for a minute.Add chicken, half of the freshly ground masala, and salt. Mix them, add 12 cup of water, cover with a lid, simmer and cook till the chicken is almost done, for about 15 to 20 minutes at least.Keep sauting occasionally.Once the chicken is cooked, add the oats and add 1-12 cups of more water and cook the chicken until the curry thickens a little (about 5 minutes).Lastly, add the reserved half of the ground masala and give it a nice stir.Keep it covered for 5 to 10 minutes before serving, to help the flavours combine well.Serve Kerala Chicken Curry along withKerala Style Appam Recipe (Without Yeast)and a side ofSeer Fish Fry Recipefor a lip smacking Sunday lunch.",https://www.archanaskitchen.com/kerala-chicken-curry-recipe,
Baba Ganoush Recipe (Roasted Eggplant Middle Eastern Dip),0,1,0,Vegetarian,1,1,Mediterranean,250.1,18.4,12.9,11.6,164.9,25.6,446.6,55.5,7.5,0,2,"1 Brinjal (Baingan / Eggplant),3 cloves Garlic - finely chopped,1 Lemon juice,2 tablespoons Tahini,3 sprig Parsley leaves - finely chopped,Salt and Pepper - to taste,Extra Virgin Olive Oil,Red Chilli powder - to taste,Pita chips - for dipping","There are two ways to roast the eggplants for the Baba Ganoush RecipeOVEN METHODFor the oven method Preheat the oven to 200C. Prick the eggplants all over with a fork, this keeps the eggplant from exploding in the oven. Place on a baking sheet and roast until softened and the skin is crusty about 20 to 30 minutes. Remove from the oven and allow to cool.STOVE TOP METHOD (shown in the video)Place the eggplant over the flame. Using a pair of tongs, turn every 5 minutes or so, until the entire surface of eggplant is charred and crispy, about 10 minutes.When you prick with a knife it will go in smoothly and would feel cooked. Dont worry if the eggplant deflates a little. Remove from the burner and place on a plate to cool.Once the eggplant is cool enough to touch with your hands, carefully peel the charred skin off the eggplant. Discard the skin. Move the eggplant onto your chopping board,slice off the stem and discard. Using your knife, mince the flesh until almost smooth.Into a mixing bowl, add in the minced eggplant, the chopped onions, garlic and parsley,2 tablespoons of tahini. Stir to combine all the ingredients and finally add in a generous drizzle of olive oil and juice from one lemon,some freshly pounded black pepper and finally some salt to taste. Stir to combine all the ingredients well.Transfer the Baba Ganoush to a serving bowl and garnish with more parsley.The Baba Ganoushis most often eaten as a dip with khubz orpita bread, and is sometimes added to other dishes as well.",https://www.archanaskitchen.com/video-recipe-baba-ghanoush-roasted-eggplant-middle-eastern-dip,
Karnataka Style Jackfruit Moong Dal Payasa Recipe,0,1,1,Vegetarian,0,1,Coastal Karnataka,120.5,7,8,1.6,183.9,24.8,181.2,34.9,3.3,0,1,"1 cup Jackfruit Ripe (Kathal) - chopped,1/4 cup Yellow Moong Dal (Split),3/4 cup Jaggery - pounded,2 teaspoon Rice - soaked for 20 minutes,2 tablespoon Fresh coconut - grated,1 teaspoon Cardamom Powder (Elaichi),1 teaspoon Ghee,1/4 cup Mixed dry fruits - finely chopped (I used almonds and cashews),6 Badam (Almond) - coarsely chopped","To begin making the Karnataka Style Jackfruit Moong Dal Payasa Recipe, in a mixer, grind together 12 cup of the jackfruit, soaked rice, grated coconut and few almonds into fine paste.In a pressure cooker,combine the yellow moong dal, with 2 tablespoons of water and pressure cook for 2 whistles. Turn off the flame and allow the pressure to release naturally. Drain and set aside.In a tadka pan, heat ghee on medium flame, once the ghee is hot, add the dry fruits and fry them till they just begin to become brown in colour. Switch off heat and keep aside.Heat a kadai on medium flame, add the ground jackfruit paste, cooked yellow moong dal, remaining jackfruit pieces, jaggery, and cardamom powder with required amount of water and bring to a boil.Once the jaggery melts and payasa recipe starts to thicken, add the ghee fried dry fruits and boil for a minute and switch off heat.Serve Karnataka Style Jackfruit Moong Dal Payasa Recipe as a dessert along with a meal of Steamed rice, Mangalore Nurge Gashie, Hesaru Bele Southekayi Kosambari Recipe and Menthya Matvadi Palya Recipe for a complete meal.",https://www.archanaskitchen.com/karnataka-style-jackfruit-moong-dal-payasa-recipe,
Matar Butter Masala Recipe,0,1,0,Vegetarian,1,1,North Indian Recipes,250.2,21,24,13,120,20,230,60,8.2,0,2,"2 cups Green peas (Matar),2 Tomatoes - pureed,1 inch Ginger,4 cloves Garlic,1 Green Chilli - slit,12 Cashew nuts,1 tablespoon Coriander Powder (Dhania),3/4 teaspoon Kashmiri Red Chilli Powder,2 teaspoons Kasuri Methi (Dried Fenugreek Leaves),2 Bay leaves (tej patta),1 tablespoon Butter,1/2 teaspoon Sugar - optional,Salt - to taste","To begin making Matar Butter Masala Recipe, soak the cashew nuts in warm water for 20 minutes and then grind it to a smooth paste using a mixer grinder and keep aside.Similarly puree the tomatoes and keep aside.Heat butter in a pan on medium flame, add the bay leaf and let it release its flavour into the butter.Now pound the garlic cloves and ginger using a mortar and pestle to a semi course paste and add it to the pan. Saute for 2 minutes until the raw smell goes away.Add the tomato puree, stir well and let the mixture cook for a few minutes.Add the coriander powder, garam masala and kashmiri red chilli powder and sauce until the oil separates.Now, add the cashew paste, slit green chilli and cook for 2 minutes.Add water to your required consistency, season with salt, sugar and bring it to a rolling boil.Now add the green peas and let it simmer with the lid closed until the green peas is well cooked.Switch off the flame and garnish with the kasuri methi by slightly crushing it between your palms.Serve the Matar Butter Masala Recipe along with flakyParathasorPhulkasand greenSweet potato and green beans saladfor a weeknight dinner.",https://www.archanaskitchen.com/matar-butter-masala-recipe,
Spicy Mullangi Thogayal Recipe (Radish Chutney),0,0,1,Vegetarian,1,1,South Indian Recipes,84.7,0.7,3.6,1.3,95.3,44.4,124.6,9.9,2,0,1.2,"1 cup Mooli/ Mullangi (Radish) - grated,2 teaspoons Black Urad Dal (Split),1/4 cup Fresh coconut,20 grams Tamarind - soaked in water,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),Salt - to taste,2 teaspoons Sesame (Gingelly) Oil,1 teaspoon Black Urad Dal (Split),1 teaspoon Mustard seeds,1/4 cup Curry leaves","To begin making the Mullangi Thogayal recipe, heat a pan over medium heat. Add the Urad dal and red chillies and roast until dal is lightly browned. Once roasted, add the grated radish, salt, coconut, turmeric powder and asafoetida.Saute until the radish (mullangi) is softened. Once softened, add the cooked mullangi thogayal ingredients into the turbo chop along with the soaked tamarind and make smooth paste.Add a little water if required while grinding. Once done, transfer to a serving bowl.For the tadka, heat oil over medium heat add the mustard seeds and urad dal and allow the dal to roast and turn golden brown. Stir in the curry leaves and pour the tadka over the Mullangi Thogayal.Serve Mullangi Thogayal along withTomato Onion Sambar,Elai Vadamand Steamed Rice for a wholesome weekday meal.",https://www.archanaskitchen.com/mullangi-pachadi-recipe-andhra-style-radish-chutney,
